,Movie_Title,Release_Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
183,Underworld: Blood Wars,2016,"['Fantasy', 'Action', 'Thriller', 'Science Fiction', 'Horror']",5.911,3823,35000000,81093313,346672
184,13 Hours: The Secret Soldiers of Benghazi,2016,"['War', 'Action', 'History', 'Drama', 'Thriller']",7.269,3789,50000000,69411370,300671
185,Trolls,2016,"['Family', 'Animation', 'Fantasy', 'Adventure', 'Comedy', 'Music']",6.63,3724,125000000,347337803,136799
186,Kubo and the Two Strings,2016,"['Animation', 'Adventure', 'Family']",7.631,3705,60000000,76249438,313297
187,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']",6.051,3673,135000000,245623848,308531
188,Swiss Army Man,2016,"['Comedy', 'Drama', 'Romance', 'Fantasy', 'Adventure']",6.926,3662,3000000,5800000,347031
189,Mechanic: Resurrection,2016,"['Action', 'Crime', 'Thriller']",6.029,3520,40000000,125729635,278924
190,The BFG,2016,"['Adventure', 'Family', 'Fantasy']",6.3,3518,140000000,195243411,267935
191,A Monster Calls,2016,"['Fantasy', 'Adventure', 'Family']",7.287,3471,43000000,47309313,258230
192,Resident Evil: The Final Chapter,2016,"['Action', 'Horror', 'Science Fiction']",6.11,3357,40000000,312242626,173897
193,Raw,2016,"['Horror', 'Drama']",7.04,3323,3500000,4100000,393519
194,How to Be Single,2016,"['Comedy', 'Romance']",6.255,3281,38000000,112343513,259694
195,Silence,2016,"['Drama', 'History']",7.12,3184,46000000,23834809,68730
196,Money Monster,2016,"['Thriller', 'Drama']",6.435,3066,27000000,93282604,303858
197,Bridget Jones's Baby,2016,"['Drama', 'Comedy', 'Romance']",6.4,3022,35000000,211952420,95610
198,Two Is a Family,2016,"['Drama', 'Comedy']",7.732,3020,0,1447740,382591
199,Green Room,2016,"['Horror', 'Crime', 'Thriller']",6.726,2836,5000000,3800000,313922
200,Spider-Man: Homecoming,2017,"['Action', 'Adventure', 'Science Fiction']",7.3,22607,175000000,880166924,315635
