Year,Actor_Name,Film_Title,Winner,Nominated
1982,Meryl Streep,Sophie's Choice,Yes,Yes
1982,Julie Andrews,Victor/Victoria,No,Yes
1982,Jessica Lange,Frances,No,Yes
1982,Sissy Spacek,Missing,No,Yes
1982,Debra Winger,An Officer and a Gentleman,No,Yes
1983,Shirley MacLaine,Terms of Endearment,Yes,Yes
1983,Jane Alexander,Testament,No,Yes
1983,Meryl Streep,Silkwood,No,Yes
1983,Julie Walters,Educating Rita,No,Yes
1983,Debra Winger,Terms of Endearment,No,Yes
1984,Sally Field,Places in the Heart,Yes,Yes
1984,Judy Davis,A Passage to India,No,Yes
1984,Jessica Lange,Country,No,Yes
1984,Vanessa Redgrave,The Bostonians,No,Yes
1984,Sissy Spacek,The River,No,Yes
1985,Geraldine Page,The Trip to Bountiful,Yes,Yes
1985,Anne Bancroft,Agnes of God,No,Yes
1985,Whoopi Goldberg,The Color Purple,No,Yes
1985,Jessica Lange,Sweet Dreams,No,Yes
1985,Meryl Streep,Out of Africa,No,Yes
1986,Marlee Matlin,Children of a Lesser God,Yes,Yes
1986,Jane Fonda,The Morning After,No,Yes
1986,Sissy Spacek,Crimes of the Heart,No,Yes
1986,Kathleen Turner,Peggy Sue Got Married,No,Yes
1986,Sigourney Weaver,Aliens,No,Yes
1987,Cher,Moonstruck,Yes,Yes
1987,Glenn Close,Fatal Attraction,No,Yes
1987,Holly Hunter,Broadcast News,No,Yes
1987,Sally Kirkland,Anna,No,Yes
1987,Meryl Streep,Ironweed,No,Yes
1988,Jodie Foster,The Accused,Yes,Yes
1988,Glenn Close,Dangerous Liaisons,No,Yes
1988,Melanie Griffith,Working Girl,No,Yes
1988,Meryl Streep,A Cry in the Dark,No,Yes
1988,Sigourney Weaver,Gorillas in the Mist,No,Yes
1989,Jessica Tandy,Driving Miss Daisy,Yes,Yes
1989,Isabelle Adjani,Camille Claudel,No,Yes
1989,Pauline Collins,Shirley Valentine,No,Yes
1989,Jessica Lange,Music Box,No,Yes
1989,Michelle Pfeiffer,The Fabulous Baker Boys,No,Yes
1990,Kathy Bates,Misery,Yes,Yes
1990,Anjelica Huston,The Grifters,No,Yes
1990,Julia Roberts,Pretty Woman,No,Yes
1990,Meryl Streep,Postcards from the Edge,No,Yes
1990,Joanne Woodward,Mr. & Mrs. Bridge,No,Yes
1991,Jodie Foster,The Silence of the Lambs,Yes,Yes
1991,Geena Davis,Thelma & Louise,No,Yes
1991,Laura Dern,Rambling Rose,No,Yes
1991,Bette Midler,For the Boys,No,Yes
1991,Susan Sarandon,Thelma & Louise,No,Yes
1992,Emma Thompson,Howards End,Yes,Yes
1992,Catherine Deneuve,Indochine,No,Yes
1992,Mary McDonnell,Passion Fish,No,Yes
1992,Michelle Pfeiffer,Love Field,No,Yes
1992,Susan Sarandon,Lorenzo's Oil,No,Yes
1993,Holly Hunter,The Piano,Yes,Yes
1993,Angela Bassett,What's Love Got to Do with It,No,Yes
1993,Stockard Channing,Six Degrees of Separation,No,Yes
1993,Emma Thompson,The Remains of the Day,No,Yes
1993,Debra Winger,Shadowlands,No,Yes
1994,Jessica Lange,Blue Sky,Yes,Yes
1994,Jodie Foster,Nell,No,Yes
1994,Miranda Richardson,Tom & Viv,No,Yes
1994,Winona Ryder,Little Women,No,Yes
1994,Susan Sarandon,The Client,No,Yes
1995,Susan Sarandon,Dead Man Walking,Yes,Yes
1995,Elisabeth Shue,Leaving Las Vegas,No,Yes
1995,Sharon Stone,Casino,No,Yes
1995,Meryl Streep,The Bridges of Madison County,No,Yes
1995,Emma Thompson,Sense and Sensibility,No,Yes
1996,Frances McDormand,Fargo,Yes,Yes
1996,Brenda Blethyn,Secrets & Lies,No,Yes
1996,Diane Keaton,Marvin's Room,No,Yes
1996,Kristin Scott Thomas,The English Patient,No,Yes
