Year,Actor_Name,Film_Title,Winner,Nominated
1977,Marcello Mastroianni,A Special Day,No,Yes
1977,John Travolta,Saturday Night Fever,No,Yes
1978,Jon Voight,Coming Home,Yes,Yes
1978,Warren Beatty,Heaven Can Wait,No,Yes
1978,Gary Busey,The Buddy Holly Story,No,Yes
1978,Robert De Niro,The Deer Hunter,No,Yes
1978,Laurence Olivier,The Boys from Brazil,No,Yes
1979,Dustin Hoffman,Kramer vs. Kramer,Yes,Yes
1979,Jack Lemmon,The China Syndrome,No,Yes
1979,Al Pacino,...And Justice for All,No,Yes
1979,Roy Scheider,All That Jazz,No,Yes
1979,Peter Sellers,Being There,No,Yes
1980,Robert De Niro,Raging Bull,Yes,Yes
1980,Robert Duvall,The Great Santini,No,Yes
1980,John Hurt,The Elephant Man,No,Yes
1980,Jack Lemmon,Tribute,No,Yes
1980,Peter O'Toole,The Stunt Man,No,Yes
1981,Henry Fonda,On Golden Pond,Yes,Yes
1981,Warren Beatty,Reds,No,Yes
1981,Burt Lancaster,Atlantic City,No,Yes
1981,Dudley Moore,Arthur,No,Yes
1981,Paul Newman,Absence of Malice,No,Yes
1982,Ben Kingsley,Gandhi,Yes,Yes
1982,Dustin Hoffman,Tootsie,No,Yes
1982,Jack Lemmon,Missing,No,Yes
1982,Paul Newman,The Verdict,No,Yes
1982,Peter O'Toole,My Favorite Year,No,Yes
1983,Robert Duvall,Tender Mercies,Yes,Yes
1983,Michael Caine,Educating Rita,No,Yes
1983,Tom Conti,"Reuben, Reuben",No,Yes
1983,Tom Courtenay,The Dresser,No,Yes
1983,Tom Courtenay,Sir,No,Yes
1984,F. Murray Abraham,Amadeus,Yes,Yes
1984,Jeff Bridges,Starman,No,Yes
1984,Albert Finney,Under the Volcano,No,Yes
1984,Tom Hulce,Amadeus,No,Yes
1984,Sam Waterston,The Killing Fields,No,Yes
1985,William Hurt,Kiss of the Spider Woman,Yes,Yes
1985,Harrison Ford,Witness,No,Yes
1985,James Garner,Murphy's Romance,No,Yes
1985,Jack Nicholson,Prizzi's Honor,No,Yes
1985,Jon Voight,Runaway Train,No,Yes
1986,Paul Newman,The Color of Money,Yes,Yes
1986,Dexter Gordon,Round Midnight,No,Yes
1986,Bob Hoskins,Mona Lisa,No,Yes
1986,William Hurt,Children of a Lesser God,No,Yes
1986,James Woods,Salvador,No,Yes
1987,Michael Douglas,Wall Street,Yes,Yes
1987,William Hurt,Broadcast News,No,Yes
1987,Marcello Mastroianni,Dark Eyes,No,Yes
1987,Jack Nicholson,Ironweed,No,Yes
1987,Robin Williams,"Good Morning, Vietnam",No,Yes
1988,Dustin Hoffman,Rain Man,Yes,Yes
1988,Gene Hackman,Mississippi Burning,No,Yes
1988,Tom Hanks,Big,No,Yes
1988,Edward James Olmos,Stand and Deliver,No,Yes
1988,Max von Sydow,Pelle the Conqueror,No,Yes
1989,Daniel Day-Lewis,My Left Foot,Yes,Yes
1989,Kenneth Branagh,Henry V,No,Yes
1989,Tom Cruise,Born on the Fourth of July,No,Yes
1989,Morgan Freeman,Driving Miss Daisy,No,Yes
1989,Robin Williams,Dead Poets Society,No,Yes
