Title,Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
The Fountain,2006,"['Drama', 'Adventure', 'Science Fiction', 'Romance']",6.902,2963,35000000,15304890,1381
Open Season,2006,"['Animation', 'Family', 'Adventure', 'Comedy']",6.17,2896,85000000,197300000,7484
The Lake House,2006,"['Drama', 'Mystery', 'Romance']",7.037,2879,40000000,114830111,2044
Marie Antoinette,2006,"['Drama', 'History']",6.696,2872,40000000,60917189,1887
The Break-Up,2006,"['Romance', 'Comedy']",5.9,2763,52000000,205700000,9767
Paprika,2006,"['Animation', 'Science Fiction', 'Thriller']",7.817,2684,300000000,946590,4977
Stranger Than Fiction,2006,"['Drama', 'Comedy', 'Romance', 'Fantasy']",7.28,2419,30000000,53653224,1262
Garfield: A Tail of Two Kitties,2006,"['Comedy', 'Family', 'Adventure']",5.6,2291,60000000,141700000,9513
The Last King of Scotland,2006,['Drama'],7.418,2269,6000000,48600000,1523
Poseidon,2006,"['Adventure', 'Action', 'Drama', 'Thriller']",5.868,2227,160000000,181700000,503
Letters from Iwo Jima,2006,"['Action', 'Drama', 'War']",7.478,2173,19000000,68673228,1251
The Girl Who Leapt Through Time,2006,"['Fantasy', 'Animation', 'Drama', 'Science Fiction']",7.784,2147,0,3478290,14069
American Pie Presents: The Naked Mile,2006,['Comedy'],5.508,2117,0,0,8275
The Pink Panther,2006,"['Comedy', 'Mystery', 'Crime', 'Adventure', 'Family']",5.851,2030,65000000,158851357,12096
16 Blocks,2006,"['Action', 'Adventure', 'Crime', 'Thriller']",6.446,2019,55000000,65664721,2207
Just My Luck,2006,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Romance']",6.166,1971,28000000,38159905,10025
Flags of Our Fathers,2006,"['War', 'Drama', 'History']",6.857,1937,90000000,65900249,3683
Snakes on a Plane,2006,"['Action', 'Thriller', 'Adventure', 'Crime', 'Horror']",5.484,1892,33000000,62022014,326
